Sig Yield, Bkg Yield, Significance : cut points
13, 413, 0.282429:  281.877 417.573
1827, 128791, 0.141803:  82.1482 98.6695
229, 5388, 0.421129:  158.484 263.589
419, 8089, 0.514815:  122.944 248.871
47, 1675, 0.272578:  255.537 299.901
1258, 19065, 0.658124:  46.7352 216.938
2446, 219636, 0.111341:  37.4114 100.738
28, 1008, 0.264946:  229.314 361.651
27, 958, 0.268187:  269.069 344.449
20, 835, 0.22635:  298.814 326.638
629, 10599, 0.590672:  162.994 211.628
186, 4173, 0.440476:  218.293 234.419
2301, 100557, 0.228712:  34.1107 138.454
1033, 20327, 0.506946:  125.517 190.186
407, 7649, 0.528651:  144.16 245.632
82, 2634, 0.305567:  202.9 295.904
511, 8757, 0.58023:  177.832 213.727
254, 5191, 0.484662:  191.922 248.972
68, 2249, 0.295851:  238.456 287.264
2608, 160847, 0.162091:  17.2397 121.586
480, 8138, 0.586235:  176.02 222.53
889, 14921, 0.593818:  126.33 209.876
79, 2586, 0.29975:  190.932 301.834
274, 6623, 0.410621:  91.5204 267.932
985, 17904, 0.548626:  122.628 199.86
860, 13916, 0.615785:  117.124 217.715
1318, 26033, 0.505311:  91.0086 190.064
1114, 16831, 0.659916:  25.3646 226.803
188, 4220, 0.440311:  215.989 240.134
39, 1271, 0.295443:  268.627 313.748
1087, 16746, 0.647181:  66.3214 220.15
1477, 50720, 0.29092:  102.461 145.574
1191, 18874, 0.629362:  70.3795 213.076
1299, 45119, 0.287587:  117.557 136.73
1324, 35970, 0.367574:  110.455 162.164
513, 10071, 0.506873:  26.4285 254.385
141, 3619, 0.384337:  220.424 254.763
409, 8339, 0.487552:  77.3234 257.387
2562, 964904, 0.0265505:  36.8624 24.3433
1448, 34877, 0.414579:  92.6178 173.35
151, 3614, 0.412156:  225.101 239.648
195, 4593, 0.420011:  192.439 259.147
376, 7057, 0.529069:  166.102 240.992
27, 1033, 0.249574:  161.414 377.451
1021, 16547, 0.615174:  100.675 212.896
2177, 92299, 0.235736:  43.7204 139.731
2114, 55034, 0.383778:  27.6945 168.024
1679, 34765, 0.482264:  50.601 185.621
490, 8513, 0.572239:  180.909 212.337
670, 11161, 0.597633:  135.158 224.708
2235, 264767, 0.0843979:  54.0365 80.9387
546, 10035, 0.541405:  52.684 250.866
208, 4574, 0.449853:  204.652 248.872
544, 10279, 0.526679:  34.3694 252.252
2282, 118509, 0.192478:  41.5389 128.576
599, 10330, 0.577078:  114.834 236.531
609, 11029, 0.549694:  170.71 197.027
2578, 154920, 0.166355:  19.5935 122.664
